biome * ffffff ffffff ffffff
biome 0 ffffff 65a064 66a764
biome 1 ffffff 65a064 66a764
biome 2 ffffff cabb6e cabb6e
biome 3 ffffff 7eb186 7fb888
biome 4 ffffff 5ea055 66a754
biome 5 ffffff 77ac7f 79b27e
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 65a064 66a764
biome 8 ffffff cabb6e cabb6e
biome 9 ffffff 65a064 66a764
biome 10 ffffff 85b791 87c090
biome 11 ffffff 85b791 87c090
biome 12 ffffff 85b791 87c090
biome 13 ffffff 85b791 87c090
biome 14 ffffff 5eb54c 74be49
biome 15 ffffff 5eb54c 74be49
biome 16 ffffff 73ae5b 86b55b
biome 17 ffffff cabb6e cabb6e
biome 18 ffffff 5ea055 66a754
biome 19 ffffff 77ac7f 79b27e
biome 20 ffffff 7eb186 7fb888
biome 21 ffffff 61b84d 7ac14a
biome 22 ffffff 61b84d 7ac14a
biome 23 ffffff 64b850 7cc14d
biome 24 ffffff 65a064 66a764
biome 25 ffffff 7eb186 7fb888
biome 26 ffffff 84b690 86bf91
biome 27 ffffff 619e5d 63a55c
biome 28 ffffff 619e5d 63a55c
biome 29 ffffff 354f1c 66a754
biome 30 ffffff 85b791 87c090
biome 31 ffffff 85b791 87c090
biome 32 ffffff 73a878 74ae7b
biome 33 ffffff 73a878 74ae7b
biome 34 ffffff 7eb186 7fb888
biome 35 ffffff cabb6e cabb6e
biome 36 ffffff cabb6e cabb6e
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 40 ffffff 85b791 87c090
biome 41 ffffff aa8a4e b5a353
biome 42 ffffff a3e053 a3e053
biome 43 ffd932 8baf6b b0e088
biome 44 ffffff d8935f dae579
biome 45 ffffff 9fb771 c9ce65
biome 46 ffffff c9c17f b2c67f
biome 49 ffffff a3ffaa a3ffaa
biome 50 ffffff 65a064 66a764
biome 51 ffffff 85b791 87c090
biome 52 0e6a35 cabb6e cabb6e
biome 53 ffffff bca165 bca165
biome 54 a2ad51 66704c 66704c
biome 55 ffffff ad8e41 afa248
biome 56 ffffff bac481 ceb979
biome 57 ffffff 70c441 70c441
biome 58 ffffff abd6bc abd6bc
biome 59 00ff2e 57ed64 57ed64
biome 60 ffffff 74d374 66e266
biome 61 ffffff 7fdb7d 7fdb7d
biome 62 ffffff 609e58 75b569
biome 63 ffffff cec577 aec681
biome 64 ffffff 609b5f 61a05f
biome 65 ffffff 7ca568 8acc6a
biome 66 ffffff a1c36d a1c36d
biome 67 ffffff 74be57 94c456
biome 68 ffffff 5a9f52 61a751
biome 69 ffffff 65a064 66a764
biome 70 ffffff 5f9a5e 5f9f5e
biome 71 ffffff 63b26d 63b26d
biome 72 588276 619365 619365
biome 73 ffffff 6aa468 6aab68
biome 74 ff107a 69cfdb 70e099
biome 75 1e1b26 3f4151 3f4151
biome 76 ffffff a2ff5f 3aff00
biome 77 ffffff cabd6e cabd6e
biome 78 ffffff c8e580 ade07b
biome 79 ffffff 1ad86c 14e26f
biome 80 ffffff 60a057 69a756
biome 81 ffffff 00995b 00995b
biome 82 ffffff bec44c b3c442
biome 83 ffffff 647f38 789643
biome 84 ffffff 73a564 79ab64
biome 85 af9200 746429 919134
biome 86 ffffff c49e7d c49e7d
biome 87 ffffff b6d367 bbdd63
biome 88 ffffff a89a77 a5a16d
biome 89 5dff00 c3e041 a5e041
biome 90 ffffff ad8456 bf664e
biome 91 e5ff00 9da078 999e55
biome 92 636084 5a935f 4f9657
biome 93 ffffff a3b74c 8ea621
biome 94 ffffff 5f9a5e 5f9f5e
biome 95 ffffff 5f9a5e 5f9f5e
biome 96 ffffff 5fbb4a 79c447
biome 97 ffffff cabd6e cabd6e
biome 98 ffffff 5eaa50 6bb04e
biome 99 ffffff 85b791 87c090
